date, pm25, pm10, o3, no2, so2, co
2018/3/16, 174, 81, , 28, , 
2018/3/17, 132, 98, , 33, , 
2018/3/18, 158, 90, , 35, , 
2018/3/19, 150, 127, , 43, , 
2018/3/20, 174, 174, , 32, , 
2018/3/21, 212, 106, , 28, , 
2018/3/22, 163, 84, , 27, , 
2018/3/23, 135, 98, , 26, , 
2018/3/24, 143, 103, , 26, , 
2018/3/25, 153, 102, , 30, , 
2018/3/26, 148, 123, , 34, , 
2018/3/27, 164, 126, , 30, , 
2018/3/28, 168, 102, , 30, , 
2018/3/29, 159, 106, , 36, , 
2018/3/30, 153, 137, , 40, , 
2018/3/31, 176, 95, , 39, , 
2017/10/1, 164, , , 29, , 
2017/10/2, 165, , , 25, , 
2017/10/3, 266, , , 17, , 
2017/10/4, 199, , , 22, , 
2017/10/5, 175, , , 35, , 
2017/10/6, 170, , , 37, , 
2017/10/7, 192, , , 24, , 
2017/10/8, 198, , , 28, , 
2017/10/9, 177, , , 24, , 
2017/10/10, 174, , , 15, , 
2017/10/11, 187, , , 6, , 
2017/10/12, 189, , , 10, , 
2017/10/13, 186, , , 6, , 
2017/10/14, 192, , , 6, , 
2017/10/15, 198, , , 11, , 
2017/10/16, 202, , , 9, , 
2017/10/17, 232, , , 10, , 
2017/10/18, 175, , , 9, , 
2017/10/19, 242, , , 12, , 
2017/10/20, 292, , , 11, , 
2017/10/21, 319, , , 8, , 
2017/10/22, 251, , , 10, , 
2017/10/23, 236, , , 12, , 
2017/10/24, 226, , , 11, , 
2017/10/25, 268, , , 16, , 
2017/10/26, 218, , , 13, , 
2017/10/27, 212, , , 13, , 
2017/10/28, 203, , , 14, , 
2017/10/29, 201, , , 9, , 
2017/10/30, 236, , , 11, , 
2017/10/31, 288, , , 11, , 
2017/11/1, 278, , , 9, , 
2017/11/2, 254, , , 12, , 
2017/11/3, 268, , , 10, , 
2017/11/4, 303, , , 10, , 
2017/11/5, 348, , , 42, , 
2017/11/6, 301, , , 59, , 
2017/11/7, 388, , , 91, , 
2017/11/8, 677, , , 120, , 
2017/11/9, 587, , , 125, , 
2017/11/10, 397, , , 133, , 
2017/11/11, 378, , , , , 
2017/11/12, 468, , , 79, , 
2017/11/13, 348, 149, , 26, , 
2017/11/14, 262, 131, , 23, , 
2017/11/15, 227, 117, , 23, , 
2017/11/16, 213, 99, , 15, , 
2017/11/17, 186, 95, , 19, , 
2017/11/18, 187, 84, , 20, , 
2017/11/19, 181, 113, , 25, , 
2017/11/20, 217, 124, , 21, , 
2017/11/21, 220, 133, , 15, , 
2017/11/22, 233, 126, , 17, , 
2017/11/23, 219, 129, , 19, , 
2017/11/24, 219, 128, , 20, , 
2017/11/25, 219, 144, , 25, , 
2017/11/26, 258, 121, , 19, , 
2017/11/27, 225, 94, , 19, , 
2017/11/28, 208, 109, , 30, , 
2017/11/29, 232, 108, , 20, , 
2017/11/30, 237, 104, , 21, , 
2017/12/1, 220, 103, , 35, , 
2017/12/2, 219, 126, , , , 
2017/12/3, 263, 128, , , , 
2017/12/4, 260, 108, , 22, , 
