date, pm25, pm10, o3, no2, so2, co
2021/9/17, 62, 38, 14, 10, 3, 12
2021/9/18, 78, 35, 14, 8, 2, 12
2021/9/19, 80, 39, 17, 8, 2, 12
2021/9/20, 78, 45, 15, 9, 2, 12
2021/9/21, 83, 47, 12, 13, 1, 11
2021/9/22, 73, 43, 14, 9, 2, 12
2021/9/23, 71, 40, 14, 12, 2, 12
2021/9/24, 68, 59, 30, 12, 2, 13
2021/9/25, 100, 54, 17, 10, 1, 14
2021/9/26, 96, 69, 33, 8, 2, 13
2021/9/27, 114, 67, 16, 11, , 16
2021/9/28, 103, 52, 15, 11, 2, 16
2021/9/29, 81, 55, 16, 10, 2, 13
2021/9/30, 92, 66, 22, 9, 2, 15
2021/4/1, 109, 83, 50, 12, 10, 11
2021/4/2, 115, 63, 72, 15, 5, 14
2021/4/3, 98, 75, 62, 14, 8, 17
2021/4/4, 117, 94, 70, 26, 8, 20
2021/4/5, 144, 135, 132, 21, 9, 25
2021/4/6, 176, 119, 80, 10, 8, 16
2021/4/7, 157, 73, 64, 11, 6, 13
2021/4/8, 94, 73, 59, 15, 4, 14
2021/4/9, 110, 102, 60, 15, 5, 19
2021/4/10, 129, 102, 69, 14, 8, 13
2021/4/11, 127, 102, 87, 17, 9, 13
2021/4/12, 157, 98, 62, 14, 8, 17
2021/4/13, 143, 93, 58, 12, 8, 14
2021/4/14, 138, 105, 60, 12, 6, 10
2021/4/15, 143, 118, 14, 14, 5, 14
2021/4/16, 126, 47, 43, 7, 4, 10
2021/4/17, 79, 67, 67, 8, 4, 13
2021/4/18, 117, 90, 68, 10, 7, 11
2021/4/19, 135, 94, 58, 12, 9, 11
2021/4/20, 132, 61, 49, 5, 8, 14
2021/4/21, 101, 62, 59, 7, 4, 13
2021/4/22, 106, 70, 42, 7, 8, 12
2021/4/23, 115, 55, 60, 6, 5, 10
2021/4/24, 87, 93, 72, 10, 8, 12
2021/4/25, 150, 115, 94, 11, 14, 13
2021/4/26, 194, 125, 91, 12, 13, 13
2021/4/27, 198, 137, 84, 14, 15, 12
2021/4/28, 201, 166, 89, 12, 14, 14
2021/4/29, 201, 133, 77, 13, 9, 12
2021/4/30, 168, 99, 80, 7, 6, 11
2021/5/1, 139, 79, 48, 8, 6, 11
2021/5/2, 119, 112, 39, 6, 4, 10
2021/5/3, 129, 75, 41, 8, 5, 10
2021/5/4, 115, 85, 63, 7, 6, 12
2021/5/5, 145, 76, 46, 6, 5, 9
2021/5/6, 131, 65, 87, 9, 7, 12
2021/5/7, 133, 60, 85, 10, 4, 11
2021/5/8, 124, 73, 70, 6, 6, 11
2021/5/9, 132, 86, 62, 10, 6, 13
2021/5/10, 131, 65, 66, 5, 4, 10
2021/5/11, 122, 68, 54, 6, 4, 11
2021/5/12, 98, 50, 49, 7, 3, 10
2021/5/13, 92, 58, 71, 7, 4, 10
2021/5/14, 119, 90, 68, 8, 8, 16
2021/5/15, 93, 67, 89, 11, 5, 
2021/5/16, 126, 80, 64, 17, 5, 9
2021/5/17, 143, 42, 20, 7, 3, 4
