date, pm25, pm10, o3, no2, so2, co
2021/10/23, 134, 92, 32, 19, 3, 5
2021/10/24, 140, 58, 31, 14, 3, 3
2021/10/25, 112, 116, 34, 18, 3, 4
2021/10/26, 164, 193, 36, 25, 5, 7
2021/10/27, 192, 225, 35, 26, 5, 8
2021/10/28, 221, 190, 42, 28, 7, 7
2021/10/29, 221, 208, 38, 27, 7, 7
2021/10/30, 213, 251, 41, 24, 9, 10
2021/10/31, 211, 265, 47, 41, 10, 15
2021/11/1, 216, 189, 47, 39, 8, 14
2021/11/2, 200, 248, 54, 39, 9, 17
2021/11/3, 230, 442, 32, 17, 8, 18
2021/11/4, 459, 447, 24, 21, 10, 19
2021/11/5, 493, 322, 39, 23, 10, 16
2021/11/6, 401, 301, 39, 27, 9, 15
2021/11/7, 330, 297, 50, 32, 11, 16
2021/11/8, 325, 316, 53, 29, 11, 15
2021/11/9, 334, 330, 62, 35, 12, 18
2021/11/10, 299, 497, 19, 42, 14, 24
2021/11/11, 411, 538, 37, 36, 12, 23
2021/11/12, 463, 418, 40, 34, 12, 19
2021/11/13, 369, 213, 63, 27, 11, 11
2021/11/14, 254, 415, 48, 38, 17, 19
2021/11/15, 325, 328, 55, 28, 11, 16
2021/11/16, 334, 296, 53, 31, 13, 17
2021/11/17, 297, 323, 66, 37, 16, 20
2021/11/18, 333, 308, 57, 34, 16, 17
2021/11/19, 323, 263, 55, 30, 15, 16
2021/11/20, 302, 200, 54, 25, 13, 13
2021/11/21, 291, 192, 53, 18, 11, 10
2021/11/22, 209, 290, 57, 28, 13, 19
2021/11/23, 242, 360, 66, 47, 15, 23
2021/11/24, 325, 354, 68, 46, 13, 22
2021/11/25, 337, 385, 68, 38, 14, 24
2021/11/26, 365, 353, 54, 41, 13, 27
2021/11/27, 346, 338, 58, 34, 11, 20
2021/11/28, 378, 257, 49, 25, 12, 17
2021/11/29, 302, 215, 47, 26, 11, 15
2021/11/30, 264, 270, 29, 28, 11, 16
2021/12/1, 328, 274, 19, 23, 10, 16
2021/12/2, 377, 179, 30, 22, 10, 16
2021/12/3, 276, 219, 35, 27, 11, 17
2021/12/4, 266, 206, 52, 35, 14, 25
2021/12/5, 280, 123, 31, 19, 9, 11
2021/12/6, 204, 140, 33, 20, 7, 12
2021/12/7, 201, 185, 36, 24, 8, 13
2021/12/8, 221, 192, 37, 26, 8, 13
2021/12/9, 241, 182, 38, 25, 9, 12
2021/12/10, 236, 148, 43, 24, 8, 10
2021/12/11, 204, 213, 45, 28, 9, 6
2021/12/12, 237, 525, 24, 31, 15, 24
2021/12/13, 461, 311, 34, 36, 13, 21
2021/12/14, 360, 231, 39, 25, 9, 15
2021/12/15, 313, 215, 32, 22, 8, 14
2021/12/16, 328, 149, 42, 14, 7, 10
2021/12/17, 252, 162, 40, 17, 5, 11
2021/12/18, 216, 157, 44, 20, 7, 11
2021/12/19, 230, 251, 56, 26, 10, 18
2021/12/20, 284, 365, 30, 35, 13, 20
2021/12/21, 395, 503, 11, 35, 11, 28
2021/12/22, 435, 594, 16, 53, 14, 37
2021/12/23, 488, 351, 31, 46, 8, 24
2021/12/24, 378, 557, 41, 44, 10, 35
2021/12/25, 506, 450, 18, 34, 9, 25
2021/12/26, 496, 103, 24, 21, 5, 12
2021/12/27, 194, 149, 7, 30, 5, 15
2021/12/28, 243, 137, 19, 20, 6, 14
2021/12/29, 235, 228, 26, 23, 8, 15
2021/12/30, 292, 257, 28, 25, 6, 15
2021/12/31, 274, 313, 28, 27, 6, 21
2022/1/1, 330, 315, 33, 25, 6, 18
2022/1/2, 358, 301, 32, 29, 6, 18
2021/7/1, 122, 233, 4, 9, 4, 5
2021/7/2, 125, 85, 4, 8, 4, 5
2021/7/3, 81, 120, 2, 10, 7, 7
2021/7/4, 128, 133, 1, 11, 7, 5
2021/7/5, 125, 136, , 11, 7, 5
2021/7/6, 121, 181, 3, 12, 6, 5
2021/7/7, 129, 175, 3, 10, 7, 4
2021/7/8, 124, 87, 12, 11, 7, 6
2021/7/9, 108, 70, 14, 9, 8, 6
2021/7/10, 92, 74, 12, 8, 8, 6
2021/7/11, 107, 65, 11, 7, 9, 5
2021/7/12, 91, 49, 11, 9, 8, 7
2021/7/13, 72, 49, 12, 7, 7, 7
2021/7/14, 97, 64, 15, 7, 6, 6
2021/7/15, 104, 84, 27, 11, 8, 6
2021/7/16, 120, 95, 6, 11, 8, 5
2021/7/17, 128, 69, 7, 10, 8, 5
2021/7/18, 92, 19, 7, 6, 11, 5
2021/7/19, 46, 55, 11, 8, 11, 7
2021/7/20, 102, 68, 8, 8, 9, 9
2021/7/21, 99, 59, 6, 10, 8, 5
2021/7/22, 79, 69, 8, 8, 9, 7
2021/7/23, 90, 100, 17, 21, 9, 8
2021/7/24, 122, 86, 34, 14, 7, 7
2021/7/25, 101, 84, 7, 11, 7, 7
2021/7/26, 127, 58, 10, 5, 8, 6
2021/7/27, 103, 32, 19, 14, 9, 4
2021/7/28, 52, 52, 14, 20, 8, 4
2021/7/29, 72, 56, 19, 24, 8, 4
2021/7/30, 105, 60, 19, 34, 8, 4
2021/7/31, 76, 46, 8, 19, 9, 4
2021/8/1, 69, 64, 8, 17, 10, 6
2021/8/2, 109, 70, 8, 43, 10, 4
2021/8/3, 88, 79, 9, 32, 10, 4
2021/8/4, 86, 101, 23, 19, 10, 4
2021/8/5, 112, 98, 13, 17, 10, 4
2021/8/6, 125, 99, 15, 22, 11, 5
2021/8/7, 120, 60, 14, 9, 10, 6
2021/8/8, 117, 76, 16, 14, 11, 7
2021/8/9, 157, 106, 7, 31, 10, 3
2021/8/10, 98, 121, 14, 15, 10, 3
2021/8/11, 91, 113, 19, 14, 10, 3
2021/8/12, 84, 108, 11, 14, 10, 3
2021/8/13, 86, 113, 8, 13, 10, 3
2021/8/14, 83, 96, 10, 10, 10, 2
2021/8/15, 83, 124, 7, 14, 11, 3
2021/8/16, 102, 167, 12, 15, 10, 4
2021/8/17, 140, 155, 14, 18, 10, 4
2021/8/18, 151, 151, 12, 22, 10, 5
2021/8/19, 160, 82, 9, 15, 11, 4
2021/8/20, 101, 29, 11, 8, 12, 5
2021/8/21, 68, 51, 10, 18, 11, 4
2021/8/22, 93, 68, 12, 17, 10, 4
2021/8/23, 102, 91, 12, 16, 10, 4
2021/8/24, 124, 110, 7, 14, 10, 3
2021/8/25, 96, 118, 9, 12, 11, 3
2021/8/26, 83, 129, 10, 11, 11, 3
2021/8/27, 101, 111, 14, 15, 11, 4
2021/8/28, 113, 88, 24, 13, 11, 4
2021/8/29, 126, 42, 7, 8, 12, 3
2021/8/30, 69, 32, 8, 7, 13, 4
2021/8/31, 63, 24, 9, 6, 13, 4
